California,19953134
New York,18236967
Pennsylvania,11793909
Texas,11196730
Illinois,11113976
Ohio,10652017
Michigan,8875083
New Jersey,7168164
Florida,6789443
Massachusetts,5689170
Indiana,5193669
North Carolina,5082059
Missouri,4676501
Virginia,4648494
Georgia,4589575
Wisconsin,4417731
Tennessee,3923687
Maryland,3922399
Minnesota,3804971
Louisiana,3641306
Alabama,3444165
Washington,3409169
Kentucky,3218706
Connecticut,3031709
Iowa,2824376
South Carolina,2590516
Oklahoma,2559229
Kansas,2246578
Mississippi,2216912
Colorado,2207259
Oregon,2091533
Arkansas,1923295
Arizona,1745944
West Virginia,1744237
Nebraska,1483493
Utah,1059273
New Mexico,1017055
Maine,992048
Rhode Island,946725
Hawaii,769913
New Hampshire,737681
Idaho,712567
Montana,694409
South Dakota,665507
North Dakota,617761
Delaware,548104
Nevada,488738
Vermont,444330
Wyoming,332416
Alaska,300382
