State,Democratic Votes,Democratic %,Democratic EV,Republican Votes,Republican %,Republican EV,Margin Votes,Margin %
Alabama,849624,36.57%,0,1441170,62.03%,9,-591546,-25.46%
Alaska,153778,42.77%,0,189951,52.83%,3,-36173,-10.06%
Arizona,1672143,49.36%,11,1661686,49.06%,0,10457,0.31%
Arkansas,423932,34.78%,0,760647,62.40%,6,-336715,-27.62%
California,11110639,63.48%,55,6006518,34.32%,0,5104121,29.16%
Colorado,1804352,55.40%,9,1364607,41.90%,0,439745,13.50%
Connecticut,1080831,59.26%,7,714717,39.19%,0,366114,20.07%
Delaware,296268,58.74%,3,200603,39.77%,0,95665,18.97%
Florida,5297045,47.86%,0,5668731,51.22%,29,-371686,-3.36%
Georgia,2473633,49.47%,16,2461854,49.24%,0,11779,0.24%
Hawaii,366130,63.73%,4,196864,34.27%,0,169266,29.46%
Idaho,287021,33.07%,0,554119,63.84%,4,-267098,-30.77%
Illinois,3471915,57.54%,20,2446891,40.55%,0,1025024,16.99%
Indiana,1242498,40.96%,0,1729857,57.03%,11,-487359,-16.07%
Iowa,759061,44.89%,0,897672,53.09%,6,-138611,-8.20%
Kansas,570323,41.51%,0,771406,56.14%,6,-201083,-14.64%
Kentucky,772474,36.15%,0,1326646,62.09%,8,-554172,-25.94%
Louisiana,856034,39.85%,0,1255776,58.46%,8,-399742,-18.61%
Maine,435072,53.09%,2,360737,44.02%,0,74335,9.07%
Maryland,1985023,65.36%,10,976414,32.15%,0,1008609,33.21%
Massachusetts,2382202,65.60%,11,1167202,32.14%,0,1215000,33.46%
Michigan,2804040,50.62%,16,2649852,47.84%,0,154188,2.78%
Minnesota,1717077,52.40%,10,1484065,45.28%,0,233012,7.11%
Mississippi,539398,41.06%,0,756764,57.60%,6,-217366,-16.55%
Missouri,1253014,41.41%,0,1718736,56.80%,10,-465722,-15.39%
Montana,244786,40.55%,0,343602,56.92%,3,-98816,-16.37%
Nebraska,374583,39.17%,0,556846,58.22%,2,-182263,-19.06%
Nevada,703486,50.06%,6,669890,47.67%,0,33596,2.39%
New Hampshire,424937,52.71%,4,365660,45.36%,0,59277,7.35%
New Jersey,2608400,57.33%,14,1883313,41.40%,0,725087,15.94%
New Mexico,501614,54.29%,5,401894,43.50%,0,99720,10.79%
New York,5244886,60.87%,29,3251997,37.74%,0,1992889,23.13%
North Carolina,2684292,48.59%,0,2758775,49.93%,15,-74483,-1.35%
North Dakota,115042,31.78%,0,235751,65.12%,3,-120709,-33.34%
Ohio,2679165,45.24%,0,3154834,53.27%,18,-475669,-8.03%
Oklahoma,503890,32.29%,0,1020280,65.37%,7,-516390,-33.09%
Oregon,1340383,56.45%,7,958448,40.37%,0,381935,16.08%
Pennsylvania,3458229,49.85%,20,3377674,48.69%,0,80555,1.16%
Rhode Island,307486,59.39%,4,199922,38.61%,0,107564,20.77%
South Carolina,1091541,43.43%,0,1385103,55.11%,9,-293562,-11.68%
South Dakota,150471,35.61%,0,261043,61.77%,3,-110572,-26.16%
Tennessee,1143711,37.45%,0,1852475,60.66%,11,-708764,-23.21%
Texas,5259126,46.48%,0,5890347,52.06%,38,-631221,-5.58%
Utah,560282,37.65%,0,865140,58.13%,6,-304858,-20.48%
Vermont,242820,66.09%,3,112704,30.67%,0,130116,35.41%
Virginia,2413568,54.11%,13,1962430,44.00%,0,451138,10.11%
Washington,2369612,57.97%,12,1584651,38.77%,0,784961,19.20%
West Virginia,235984,29.69%,0,545382,68.62%,5,-309398,-38.93%
Wisconsin,1630866,49.45%,10,1610184,48.82%,0,20682,0.63%
Wyoming,73491,26.55%,0,193559,69.94%,3,-120068,-43.38%
